pv_ratio,evening_peak,net_min,duck_depth,max_ramp,min_ramp,surplus_total,deficit_total,pv_label
0.1,6972.052471795207,4069.172540716068,2902.8799310791387,852.042482248803,-514.0921360043458,0.0,143606.4887610228,PV 10%
0.2,6900.05832340024,4069.172540716068,2830.8857826841718,805.5027003767209,-514.0921360043458,0.0,139216.95550422458,PV 20%
0.3,6828.064175005274,4069.172540716068,2758.8916342892057,758.9629185046397,-514.0921360043458,0.0,134827.4222474263,PV 30%
0.4,6756.070026610307,4069.172540716068,2686.897485894239,764.058043862844,-704.6102922693526,0.0,130437.88899062805,PV 40%
