hour,pv_norm
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.033285064276523564
8,0.0941421918595232
9,0.22040526037377564
10,0.42713223677089934
11,0.6851812798268945
12,0.9098113957113441
13,1.0
14,0.9098113957113441
15,0.6851812798268945
16,0.42713223677089934
17,0.22040526037377564
18,0.0941421918595232
19,0.033285064276523564
20,0.0
21,0.0
22,0.0
23,0.0
